trade_key,time,symbol,income_type,income,direction,entry_price,exit_price,qty,notional,open_time,fee,asset,mfe,mae,account_id,backfill_completed
qt:123920190,1775122339999,STOUSDT,REALIZED_PNL,-2.32122,SHORT,1.08641,1.12158,66.0,74.02428,1775110209786,0.03701214,USDT,0.0,-2.32,1,1
qt:124193444,1775122461918,STOUSDT,OPEN,0.0,LONG,0.99517,0.0,93.0,92.55081,1775122461918,0.01851016,USDT,0.0,0.0,1,0
qt:124220865,1775122477891,STOUSDT,REALIZED_PNL,-0.68262,SHORT,0.98049,0.98783,93.0,91.86819,1775110209786,0.04593409,USDT,0.0,-0.68,1,1
qt:124305190,1775122548704,STOUSDT,OPEN,0.0,SHORT,0.99834,0.0,161.0,160.73274,1775122548704,0.03214654,USDT,0.0,0.0,1,0
qt:124309951,1775122552458,STOUSDT,REALIZED_PNL,-3.60326,LONG,1.04310099,1.0207205,161.0,164.34,1775110209786,0.08216799,USDT,0.0,-3.6,1,1
qt:124316356,1775122557444,STOUSDT,OPEN,0.0,SHORT,1.01971,0.0,75.0,76.47824999999999,1775122557444,0.01529565,USDT,0.0,0.0,1,0
qt:124340208,1775122584404,STOUSDT,REALIZED_PNL,-0.918,LONG,1.04419,1.03195,75.0,77.39625,1775110209786,0.03869812,USDT,0.0,-0.92,1,1
qt:124344045,1775122588345,STOUSDT,OPEN,0.0,LONG,1.03758,0.0,64.0,66.40512,1775122588345,0.01328102,USDT,0.0,0.0,1,0
qt:124396070,1775122617357,STOUSDT,REALIZED_PNL,-4.20288,SHORT,0.90624,0.97191,64.0,62.20224,1775110209786,0.03110112,USDT,0.0,-4.2,1,1
qt:124426591,1775122639985,STOUSDT,OPEN,0.0,SHORT,0.91421,0.0,56.0,51.19576,1775122639985,0.01023915,USDT,0.0,0.0,1,0
qt:124472956,1775122666981,STOUSDT,REALIZED_PNL,2.94455,LONG,0.8090475,0.86162875,56.0,48.25,1775110209786,0.0241256,USDT,2.9400000000000004,0.0,1,1
qt:124496850,1775122679632,STOUSDT,OPEN,0.0,SHORT,0.85031,0.0,96.0,81.62976,1775122679632,0.01632595,USDT,0.0,0.0,1,0
qt:124496851,1775122679632,STOUSDT,OPEN,0.0,SHORT,0.85031,0.0,76.0,64.62356,1775122679632,0.01292471,USDT,0.0,0.0,1,0
qt:124509241,1775122685974,STOUSDT,REALIZED_PNL,7.40804,LONG,0.76417,0.80724,172.0,138.84528,1775110209786,0.06942263,USDT,7.41,0.0,1,1
qt:646996001,1773425718321,TRUMPUSDT,OPEN,0.0,LONG,3.794,0.0,235.94,895.15636,1773425718321,0.44757818,USDT,0.0,0.0,1,0
qt:646998288,1773425802644,TRUMPUSDT,REALIZED_PNL,-1.8875199999999999,SHORT,3.778,3.786,235.94,893.27,1773425718321,0.44663442000000003,USDT,0.0,-1.8900000000000001,1,1
qt:647008063,1773425979847,TRUMPUSDT,OPEN,0.0,SHORT,3.75,0.0,117.38,440.17499999999995,1773425979847,0.2200875,USDT,0.0,0.0,1,0
qt:647018380,1773426252478,TRUMPUSDT,REALIZED_PNL,0.93904,LONG,3.734,3.742,117.38,439.23596,1773425718321,0.21961798,USDT,0.94,0.0,1,1
qt:647018587,1773426266432,TRUMPUSDT,OPEN,0.0,LONG,3.741,0.0,51.88,194.08308000000002,1773426266432,0.09704154,USDT,0.0,0.0,1,0
qt:647018588,1773426266432,TRUMPUSDT,OPEN,0.0,LONG,3.741,0.0,64.01,239.46141000000003,1773426266432,0.1197307,USDT,0.0,0.0,1,0
qt:647019865,1773426319240,TRUMPUSDT,REALIZED_PNL,0.45715994,SHORT,3.749,3.745,114.29,428.02,1773425718321,0.21400799,USDT,0.47,0.0,1,1
qt:52825356,1774627831633,XAUUSDT,OPEN,0.0,LONG,4532.01,0.0,0.011,49.852109999999996,1774627831633,0.01246302,USDT,0.0,0.0,1,0
qt:52826281,1774627899462,XAUUSDT,REALIZED_PNL,-0.07238,SHORT,4518.85,4525.43,0.011,49.77973,1774627831633,0.01244493,USDT,-0.07,-0.07,1,1
